Model Name,T/F Accuracy,MCQ Accuracy,Average Accuracy
qwen3_32b,0.810035842293907,0.788461538,0.799248690146953
qwen2.5_72b,0.845878136200717,0.786982249,0.816430192600358
mistral_large_123b,0.813620071684588,0.772189349,0.792904710342294
mistral-small3.2_24b,0.792114695340502,0.75887574,0.775495217670251
mistral_7b,0.770609318996416,0.73816568,0.754387499498208
gemma3_27b,0.838709677419355,0.779585799,0.809147738209677
aya_expanse_8b,0.774193548387097,0.75295858,0.763576064193548
aya_expanse_32b,0.813620071684588,0.772189349,0.792904710342294
aya_8b,0.720430107526882,0.717455621,0.718942864263441
aya_35b,0.795698924731183,0.74260355,0.769151237365591
gpt_oss_20b,0.806451612903226,0.800295858,0.803373735451613
gpt_oss_120b,0.824372759856631,0.779585799,0.801979279428315
llama3.1_8b,0.756272401433692,0.720414201,0.738343301216846
llama3.3_70b,0.874551971326165,0.791420118,0.832986044663083
